"Species","Plant.ID","Seed.estimate","Notes","plot","EG.adult","SP.adult","BH","BD","Avena","Forb","Fabaceae","BRADIS","FEMY","POA","treat","Plot","trans","ind","rust","prop.dam.mini","mean.dam.mini","prop.dam","mean.dam"
"BH","BH2",8,"","5.C.inoculation",0,5,3,0,27.7777777777778,720,0,0,0,0,"inoculation","C",5,"5.C.inoculation.BH2","0",NA,NA,NA,NA
"BH","BH1",4,"TOO LIGHT; <0.01","6.A.fungicide",6,8,300,350,100,10,4,0,0,0,"fungicide","A",6,"6.A.fungicide.BH1","0",NA,NA,NA,NA
"BH","BH3",8,"","1.E.ambient",1,1,100,0,150,70,66.6666666666667,480,0,0,"ambient","E",1,"1.E.ambient.BH3","0",NA,NA,NA,NA
"BH","BH3",30,"","5.C.ambient",8,1,125,2,10,900,6.66666666666667,0,0,0,"ambient","C",5,"5.C.ambient.BH3","0",NA,NA,NA,NA
"BH","BH2",53,"","1.E.ambient",1,1,100,0,150,70,66.6666666666667,480,0,0,"ambient","E",1,"1.E.ambient.BH2","0",NA,NA,NA,NA
"BD","X410",4,"","3.A.ambient",1,9,5,2,23.3333333333333,80,0,0,0,0,"ambient","A",3,"3.A.ambient.X410","0",NA,NA,NA,NA
"BD","BD2",5,"","4.A.inoculation",0,12,100,4,15,3,300,80,0,0,"inoculation","A",4,"4.A.inoculation.BD2","0",NA,NA,NA,NA
"BH","BH3",0,"TOO LIGHT; <0.01","5.E.inoculation",1,0,1800,100,150,200,3,0,0,0,"inoculation","E",5,"5.E.inoculation.BH3","0",NA,NA,NA,NA
"BD","X512",59,"","1.E.ambient",1,1,100,0,150,70,66.6666666666667,480,0,0,"ambient","E",1,"1.E.ambient.X512","0",NA,NA,NA,NA
"EG","EG1",3851,"","5.E.inoculation",1,0,1800,100,150,200,3,0,0,0,"inoculation","E",5,"5.E.inoculation.EG1","0",NA,NA,1,0.0533333333333333
"AB","AB3",7,"AF","4.A.fungicide",0,12,266.666666666667,4,133.333333333333,0,0,10,0,0,"fungicide","A",4,"4.A.fungicide.AB3","0",NA,NA,NA,NA
"SP","X496",2,"","8.E.ambient",1,1,1,22.2222222222222,66.6666666666667,360,0,0,0,0,"ambient","E",8,"8.E.ambient.X496","0",NA,NA,1,0.01
"AB","AB2",2,"NO SEEDS","4.A.fungicide",0,12,266.666666666667,4,133.333333333333,0,0,10,0,0,"fungicide","A",4,"4.A.fungicide.AB2","0",NA,NA,NA,NA
"AB","AB1",3,"NO SEEDS","4.A.fungicide",0,12,266.666666666667,4,133.333333333333,0,0,10,0,0,"fungicide","A",4,"4.A.fungicide.AB1","0",NA,NA,NA,NA
"AB","AB3",4,"AF","4.A.inoculation",0,12,100,4,15,3,300,80,0,0,"inoculation","A",4,"4.A.inoculation.AB3","0",NA,NA,NA,NA
"BH","X478",20,"","8.A.ambient",6,8,100,1,2,400,0,0,0,0,"ambient","A",8,"8.A.ambient.X478","0",NA,NA,NA,NA
"AB","AB2",3,"NO SEEDS","4.A.inoculation",0,12,100,4,15,3,300,80,0,0,"inoculation","A",4,"4.A.inoculation.AB2","0",NA,NA,NA,NA
"AB","AB1",3,"NO SEEDS","4.A.inoculation",0,12,100,4,15,3,300,80,0,0,"inoculation","A",4,"4.A.inoculation.AB1","0",NA,NA,NA,NA
"AB","AB2",7,"AF","1.E.inoculation",0,0,1760,9,125,33.3333333333333,13.3333333333333,0,4,0,"inoculation","E",1,"1.E.inoculation.AB2","0",NA,NA,1,0.0055
NA,"X467",2,"NO SEEDS","4.A.ambient",0,12,0,0,30,15,4,1,0,0,"ambient","A",4,"4.A.ambient.X467","0",NA,NA,NA,NA
"EG","X207",27,"","6.A.inoculation",4,8,300,0,58.3333333333333,250,0,75,0,0,"inoculation","A",6,"6.A.inoculation.X207","0",1,0.07683333333,1,0.004
"SP","X426",26,"check number","3.E.ambient",0,1,6,0,100,600,27.7777777777778,450,0,0,"ambient","E",3,"3.E.ambient.X426","0",NA,NA,1,0.004
"SP","SP1",25,"","4.E.ambient",0,3,240,83.3333333333333,26,0,450,0,0,0,"ambient","E",4,"4.E.ambient.SP1","0",NA,NA,0.333333333333333,0.00333333333333333
"SP","SP3",17,"","5.C.fungicide",0,15,50,7,22.2222222222222,186.666666666667,0,240,0,0,"fungicide","C",5,"5.C.fungicide.SP3","0",NA,NA,1,0.001
"SP","SP3",23,"","8.C.ambient",9,2,0,700,2,240,0,0,0,0,"ambient","C",8,"8.C.ambient.SP3","0",NA,NA,1,0.004
"SP","SP1",18,"","6.C.ambient",8,1,1000,1,25,125,0,0,0,0,"ambient","C",6,"6.C.ambient.SP1","0",NA,NA,NA,NA
"SP","SP1",23,"","8.C.inoculation",8,4,1,100,3,5,0,0,0,0,"inoculation","C",8,"8.C.inoculation.SP1","0",NA,NA,1,0.0233333333333333
"SP","SP3",14,"","1.C.fungicide",1,3,0,4,124.444444444444,80,0,320,0,0,"fungicide","C",1,"1.C.fungicide.SP3","0",NA,NA,1,0.001
"SP","X427",7,"","6.E.ambient",1,1,800,66.6666666666667,266.666666666667,100,0,0,0,160,"ambient","E",6,"6.E.ambient.X427","0",NA,NA,NA,NA
"SP","SP2",74,"","1.C.fungicide",1,3,0,4,124.444444444444,80,0,320,0,0,"fungicide","C",1,"1.C.fungicide.SP2","0",NA,NA,0.333333333333333,0.000333333333333333
"AB","AB3",3,"AB","6.E.inoculation",3,2,240,0,350,160,0,0,0,400,"inoculation","E",6,"6.E.inoculation.AB3","0",NA,NA,NA,NA
"SP","X214",281,"","1.A.fungicide",0,12,225,0,6,166.666666666667,26.6666666666667,150,0,0,"fungicide","A",1,"1.A.fungicide.X214","0",0.666666667,0.01183333333,0.333333333333333,0.000333333333333333
"SP","X212",137,"","1.A.fungicide",0,12,225,0,6,166.666666666667,26.6666666666667,150,0,0,"fungicide","A",1,"1.A.fungicide.X212","0",0.666666667,0.017,0,0
"SP","X213",153,"","1.A.fungicide",0,12,225,0,6,166.666666666667,26.6666666666667,150,0,0,"fungicide","A",1,"1.A.fungicide.X213","0",0.833333333,0.03,0.333333333333333,0.000333333333333333
"SP","X218",177,"","1.A.ambient",0,20,4,2,12,200,5,2,0,0,"ambient","A",1,"1.A.ambient.X218","0",1,0.02033333333,1,0.01
"SP","X484",60,"","8.A.ambient",6,8,100,1,2,400,0,0,0,0,"ambient","A",8,"8.A.ambient.X484","0",NA,NA,0.333333333333333,0.000333333333333333
"SP","X485",138,"","8.A.ambient",6,8,100,1,2,400,0,0,0,0,"ambient","A",8,"8.A.ambient.X485","0",NA,NA,0.333333333333333,0.000333333333333333
"SP","X483",27,"","8.A.ambient",6,8,100,1,2,400,0,0,0,0,"ambient","A",8,"8.A.ambient.X483","0",NA,NA,0.666666666666667,0.02
"SP","SP2",108,"","8.A.inoculation",1,9,16.6666666666667,0,1,200,0,0,60,0,"inoculation","A",8,"8.A.inoculation.SP2","0",NA,NA,0.333333333333333,0.00333333333333333
"SP","SP3",150,"","8.C.fungicide",1,16,0,0,2,120,0,0,0,0,"fungicide","C",8,"8.C.fungicide.SP3","0",NA,NA,0.333333333333333,0.00333333333333333
"SP","SP3",34,"","8.A.ambient",6,8,100,1,2,400,0,0,0,0,"ambient","A",8,"8.A.ambient.SP3","0",NA,NA,NA,NA
"AB","AB2",4,"AB","6.C.fungicide",7,5,2400,0,186.666666666667,250,0,0,0,750,"fungicide","C",6,"6.C.fungicide.AB2","0",NA,NA,0.5,5e-04
"AB","AB1",3,"NO SEEDS","3.A.inoculation",0,11,6,0,1,20,0,0,0,0,"inoculation","A",3,"3.A.inoculation.AB1","0",NA,NA,NA,NA
"SP","SP2",95,"","8.C.ambient",9,2,0,700,2,240,0,0,0,0,"ambient","C",8,"8.C.ambient.SP2","0",NA,NA,1,0.001
"SP","SP1",32,"","8.C.fungicide",1,16,0,0,2,120,0,0,0,0,"fungicide","C",8,"8.C.fungicide.SP1","0",NA,NA,0.333333333333333,0.000333333333333333
"SP","SP1",26,"","6.A.ambient",11,5,320,1,71.1111111111111,600,1,0,0,0,"ambient","A",6,"6.A.ambient.SP1","0",NA,NA,1,0.0366666666666667
"EG","X208",145,"","6.A.inoculation",4,8,300,0,58.3333333333333,250,0,75,0,0,"inoculation","A",6,"6.A.inoculation.X208","0",1,0.05166666667,1,0.007
"SP","SP2",8,"","6.C.ambient",8,1,1000,1,25,125,0,0,0,0,"ambient","C",6,"6.C.ambient.SP2","0",NA,NA,0.333333333333333,0.000333333333333333
"SP","X436",13,"","6.E.ambient",1,1,800,66.6666666666667,266.666666666667,100,0,0,0,160,"ambient","E",6,"6.E.ambient.X436","0",NA,NA,1,0.007
"SP","SP3",103,"","6.C.fungicide",7,5,2400,0,186.666666666667,250,0,0,0,750,"fungicide","C",6,"6.C.fungicide.SP3","0",NA,NA,1,0.004
"AB","AB2",7,"NO SEEDS","6.E.fungicide",4,2,150,0,250,700,0,0,0,350,"fungicide","E",6,"6.E.fungicide.AB2","0",NA,NA,NA,NA
"AB","AB1",4,"AB","6.E.inoculation",3,2,240,0,350,160,0,0,0,400,"inoculation","E",6,"6.E.inoculation.AB1","0",NA,NA,0.666666666666667,0.00366666666666667
"AB","AB2",2,"NO SEEDS","3.A.inoculation",0,11,6,0,1,20,0,0,0,0,"inoculation","A",3,"3.A.inoculation.AB2","0",NA,NA,NA,NA
"AB","AB1",4,"AB","1.C.fungicide",1,3,0,4,124.444444444444,80,0,320,0,0,"fungicide","C",1,"1.C.fungicide.AB1","0",NA,NA,0,0
"AB","AB1",3,"NO SEEDS","3.C.ambient",1,7,0,0,200,225,9,300,0,0,"ambient","C",3,"3.C.ambient.AB1","0",NA,NA,NA,NA
"AB","X428",4,"NO SEEDS","6.E.ambient",1,1,800,66.6666666666667,266.666666666667,100,0,0,0,160,"ambient","E",6,"6.E.ambient.X428","0",NA,NA,NA,NA
"AB","AB1",7,"AB","6.C.inoculation",4,4,1000,0,150,100,0,0,0,200,"inoculation","C",6,"6.C.inoculation.AB1","0",NA,NA,0.5,5e-04
"SP","X437+X438",124,"","6.E.ambient",1,1,800,66.6666666666667,266.666666666667,100,0,0,0,160,"ambient","E",6,"6.E.ambient.X437+X438","0",NA,NA,NA,NA
"SP","SP2",31,"","6.E.inoculation",3,2,240,0,350,160,0,0,0,400,"inoculation","E",6,"6.E.inoculation.SP2","0",NA,NA,1,0.004
"AB","AB1",7,"AB","6.E.fungicide",4,2,150,0,250,700,0,0,0,350,"fungicide","E",6,"6.E.fungicide.AB1","0",NA,NA,NA,NA
"SP","SP3",101,"","1.C.ambient",0,3,1,0,14,124.444444444444,0,300,0,0,"ambient","C",1,"1.C.ambient.SP3","0",NA,NA,1,0.0533333333333333
"AB","AB1",6,"AB","6.E.ambient",1,1,800,66.6666666666667,266.666666666667,100,0,0,0,160,"ambient","E",6,"6.E.ambient.AB1","0",NA,NA,0.5,5e-04
"AB","AB3",6,"AB","6.E.fungicide",4,2,150,0,250,700,0,0,0,350,"fungicide","E",6,"6.E.fungicide.AB3","0",NA,NA,0,0
"SP","SP1",15,"","1.C.ambient",0,3,1,0,14,124.444444444444,0,300,0,0,"ambient","C",1,"1.C.ambient.SP1","0",NA,NA,1,0.007
"AB","AB1",7,"AB","6.C.fungicide",7,5,2400,0,186.666666666667,250,0,0,0,750,"fungicide","C",6,"6.C.fungicide.AB1","0",NA,NA,0.333333333333333,0.000333333333333333
"SP","SP1",36,"","1.E.inoculation",0,0,1760,9,125,33.3333333333333,13.3333333333333,0,4,0,"inoculation","E",1,"1.E.inoculation.SP1","0",NA,NA,1,0.007
"AB","AB3",10,"AB","6.C.fungicide",7,5,2400,0,186.666666666667,250,0,0,0,750,"fungicide","C",6,"6.C.fungicide.AB3","0",NA,NA,0.666666666666667,0.00366666666666667
"AB","AB3",2,"AB","1.C.inoculation",0,7,1,0,70,105,3,150,0,0,"inoculation","C",1,"1.C.inoculation.AB3","0",NA,NA,NA,NA
"AB","X498",4,"NO SEEDS","1.A.ambient",0,20,4,2,12,200,5,2,0,0,"ambient","A",1,"1.A.ambient.X498","0",NA,NA,NA,NA
"AB","AB1",5,"NO SEEDS","1.A.inoculation",0,12,0,0,9,266.666666666667,30,0,0,0,"inoculation","A",1,"1.A.inoculation.AB1","0",NA,NA,NA,NA
"SP","SP2",43,"","4.A.fungicide",0,12,266.666666666667,4,133.333333333333,0,0,10,0,0,"fungicide","A",4,"4.A.fungicide.SP2","0",NA,NA,1,0.004
"SP","SP1",41,"","3.A.fungicide",1,8,6,0,4,16,0,300,0,0,"fungicide","A",3,"3.A.fungicide.SP1","0",NA,NA,NA,NA
"SP","X463",35,"","4.E.ambient",0,3,240,83.3333333333333,26,0,450,0,0,0,"ambient","E",4,"4.E.ambient.X463","0",NA,NA,0.333333333333333,0.000333333333333333
"AB","AB3",3,"NO SEEDS","1.A.inoculation",0,12,0,0,9,266.666666666667,30,0,0,0,"inoculation","A",1,"1.A.inoculation.AB3","0",NA,NA,NA,NA
"SP","SP3",107,"","5.C.inoculation",0,5,3,0,27.7777777777778,720,0,0,0,0,"inoculation","C",5,"5.C.inoculation.SP3","0",NA,NA,1,0.0233333333333333
"AB","AB2",4,"NO SEEDS","1.A.fungicide",0,12,225,0,6,166.666666666667,26.6666666666667,150,0,0,"fungicide","A",1,"1.A.fungicide.AB2","0",NA,NA,NA,NA
"SP","SP1",21,"","5.C.inoculation",0,5,3,0,27.7777777777778,720,0,0,0,0,"inoculation","C",5,"5.C.inoculation.SP1","0",NA,NA,1,0.004
"AB","X409",42,"AB","3.A.ambient",1,9,5,2,23.3333333333333,80,0,0,0,0,"ambient","A",3,"3.A.ambient.X409","0",NA,NA,1,0.007
"SP","SP2",52,"","5.C.inoculation",0,5,3,0,27.7777777777778,720,0,0,0,0,"inoculation","C",5,"5.C.inoculation.SP2","0",NA,NA,1,0.007
"SP","SP3",63,"","5.A.fungicide",12,3,0,11.1111111111111,11.1111111111111,62.2222222222222,0,0,3,0,"fungicide","A",5,"5.A.fungicide.SP3","0",NA,NA,0.333333333333333,0.000333333333333333
"AB","X396",7,"AB","5.E.ambient",0,0,133.333333333333,8,53.3333333333333,66.6666666666667,15,0,0,0,"ambient","E",5,"5.E.ambient.X396","0",NA,NA,NA,NA
"SP","SP1",30,"","5.A.fungicide",12,3,0,11.1111111111111,11.1111111111111,62.2222222222222,0,0,3,0,"fungicide","A",5,"5.A.fungicide.SP1","0",NA,NA,NA,NA
"SP","SP2",48,"","5.A.fungicide",12,3,0,11.1111111111111,11.1111111111111,62.2222222222222,0,0,3,0,"fungicide","A",5,"5.A.fungicide.SP2","0",NA,NA,0.666666666666667,0.000666666666666667
"AB","AB3",5,"AF","3.E.fungicide",1,1,0,0,210,180,11.1111111111111,450,0,0,"fungicide","E",3,"3.E.fungicide.AB3","0",NA,NA,NA,NA
"AB","AB3",6,"AB","6.C.inoculation",4,4,1000,0,150,100,0,0,0,200,"inoculation","C",6,"6.C.inoculation.AB3","0",NA,NA,0,0
"SP","SP3",120,"","5.A.inoculation",6,12,4,3,7,83.3333333333333,4,0,0,0,"inoculation","A",5,"5.A.inoculation.SP3","0",NA,NA,1,0.0203333333333333
"SP","X203",86,"","3.A.inoculation",0,11,6,0,1,20,0,0,0,0,"inoculation","A",3,"3.A.inoculation.X203","0",1,0.03833333333,1,0.0366666666666667
"SP","SP1",56,"","1.A.inoculation",0,12,0,0,9,266.666666666667,30,0,0,0,"inoculation","A",1,"1.A.inoculation.SP1","0",NA,NA,1,0.01
"SP","SP2",84,"","1.C.ambient",0,3,1,0,14,124.444444444444,0,300,0,0,"ambient","C",1,"1.C.ambient.SP2","0",NA,NA,1,0.004
"SP","SP1",85,"","1.C.fungicide",1,3,0,4,124.444444444444,80,0,320,0,0,"fungicide","C",1,"1.C.fungicide.SP1","0",NA,NA,1,0.001
"SP","SP2",34,"","5.C.ambient",8,1,125,2,10,900,6.66666666666667,0,0,0,"ambient","C",5,"5.C.ambient.SP2","0",NA,NA,0.666666666666667,0.00366666666666667
"SP","X198",129,"","3.A.inoculation",0,11,6,0,1,20,0,0,0,0,"inoculation","A",3,"3.A.inoculation.X198","0",1,0.1018333333,1,0.001
"AB","AB2",21,"AB","1.C.fungicide",1,3,0,4,124.444444444444,80,0,320,0,0,"fungicide","C",1,"1.C.fungicide.AB2","0",NA,NA,NA,NA
"AB","AB2",51,"AF","1.C.ambient",0,3,1,0,14,124.444444444444,0,300,0,0,"ambient","C",1,"1.C.ambient.AB2","0",NA,NA,NA,NA
"AB","AB3",24,"AB","1.E.fungicide",0,0,0,2,360,41.6666666666667,11.1111111111111,0,0,0,"fungicide","E",1,"1.E.fungicide.AB3","0",NA,NA,0.5,0.025
"AB","AB3",14,"AB","4.C.inoculation",1,8,4,0,175,60,280,0,0,0,"inoculation","C",4,"4.C.inoculation.AB3","0",NA,NA,1,0.001
"AB","AB1",35,"AB","5.E.ambient",0,0,133.333333333333,8,53.3333333333333,66.6666666666667,15,0,0,0,"ambient","E",5,"5.E.ambient.AB1","0",NA,NA,0.333333333333333,0.0166666666666667
"AB","AB1",16,"AB","5.E.fungicide",0,0,50,16.6666666666667,240,500,8,1,0,0,"fungicide","E",5,"5.E.fungicide.AB1","0",NA,NA,NA,NA
"AB","AB2",7,"AB","5.E.fungicide",0,0,50,16.6666666666667,240,500,8,1,0,0,"fungicide","E",5,"5.E.fungicide.AB2","0",NA,NA,0.333333333333333,0.000333333333333333
"AB","AB3",12,"AF","5.A.fungicide",12,3,0,11.1111111111111,11.1111111111111,62.2222222222222,0,0,3,0,"fungicide","A",5,"5.A.fungicide.AB3","0",NA,NA,NA,NA
"AB","X387",14,"AF","5.A.ambient",22,0,0,53.3333333333333,6,53.3333333333333,0,0,0,0,"ambient","A",5,"5.A.ambient.X387","0",NA,NA,NA,NA
"AB","AB1",6,"NO SEEDS","5.A.fungicide",12,3,0,11.1111111111111,11.1111111111111,62.2222222222222,0,0,3,0,"fungicide","A",5,"5.A.fungicide.AB1","0",NA,NA,NA,NA
"AB","X388",11,"AF","5.A.ambient",22,0,0,53.3333333333333,6,53.3333333333333,0,0,0,0,"ambient","A",5,"5.A.ambient.X388","0",NA,NA,NA,NA
"AB","X389",21,"AF","5.A.ambient",22,0,0,53.3333333333333,6,53.3333333333333,0,0,0,0,"ambient","A",5,"5.A.ambient.X389","0",NA,NA,NA,NA
"AB","AB3",9,"AF","5.C.ambient",8,1,125,2,10,900,6.66666666666667,0,0,0,"ambient","C",5,"5.C.ambient.AB3","0",NA,NA,NA,NA
"AB","AB1",14,"NO SEEDS","5.A.inoculation",6,12,4,3,7,83.3333333333333,4,0,0,0,"inoculation","A",5,"5.A.inoculation.AB1","0",NA,NA,NA,NA
"AB","AB1",14,"AF","5.C.ambient",8,1,125,2,10,900,6.66666666666667,0,0,0,"ambient","C",5,"5.C.ambient.AB1","0",NA,NA,NA,NA
"AB","AB2",7,"AF","5.C.ambient",8,1,125,2,10,900,6.66666666666667,0,0,0,"ambient","C",5,"5.C.ambient.AB2","0",NA,NA,NA,NA
"AB","AB2",25,"AB","3.E.inoculation",0,1,8,0,116.666666666667,83.3333333333333,116.666666666667,360,0,0,"inoculation","E",3,"3.E.inoculation.AB2","0",NA,NA,0.333333333333333,0.000333333333333333
"AB","AB1",19,"AF","3.E.inoculation",0,1,8,0,116.666666666667,83.3333333333333,116.666666666667,360,0,0,"inoculation","E",3,"3.E.inoculation.AB1","1",NA,NA,0.5,5e-04
"AB","Ab1",13,"AF","3.C.fungicide",0,0,0,4,293.333333333333,66.6666666666667,60,100,0,0,"fungicide","C",3,"3.C.fungicide.Ab1","0",NA,NA,NA,NA
"AB","X418",10,"NO SEEDS","3.E.ambient",0,1,6,0,100,600,27.7777777777778,450,0,0,"ambient","E",3,"3.E.ambient.X418","0",NA,NA,NA,NA
"AB","AB3",16,"AF","3.C.fungicide",0,0,0,4,293.333333333333,66.6666666666667,60,100,0,0,"fungicide","C",3,"3.C.fungicide.AB3","0",NA,NA,0.5,5e-04
"AB","AB2",17,"AB","1.A.ambient",0,20,4,2,12,200,5,2,0,0,"ambient","A",1,"1.A.ambient.AB2","0",NA,NA,1,0.001
"AB","AB1",16,"AF","1.C.inoculation",0,7,1,0,70,105,3,150,0,0,"inoculation","C",1,"1.C.inoculation.AB1","0",NA,NA,NA,NA
"AB","AB2",10,"AB","1.C.inoculation",0,7,1,0,70,105,3,150,0,0,"inoculation","C",1,"1.C.inoculation.AB2","0",NA,NA,0,0
"AB","AB2",8,"AB","8.E.ambient",1,1,1,22.2222222222222,66.6666666666667,360,0,0,0,0,"ambient","E",8,"8.E.ambient.AB2","0",NA,NA,1,0.01
"AB","AB1",20,"AB","6.A.inoculation",4,8,300,0,58.3333333333333,250,0,75,0,0,"inoculation","A",6,"6.A.inoculation.AB1","0",NA,NA,0.5,5e-04
"AB","AB1",17,"AF","8.A.inoculation",1,9,16.6666666666667,0,1,200,0,0,60,0,"inoculation","A",8,"8.A.inoculation.AB1","0",NA,NA,NA,NA
"AB","AB3",22,"AB","8.E.fungicide",0,0,3,27.7777777777778,60,240,0,0,75,0,"fungicide","E",8,"8.E.fungicide.AB3","0",NA,NA,1,0.01
"AB","AB1",13,"AB","1.E.inoculation",0,0,1760,9,125,33.3333333333333,13.3333333333333,0,4,0,"inoculation","E",1,"1.E.inoculation.AB1","0",NA,NA,1,0.004
"AB","AB3",6,"NO SEEDS","1.C.ambient",0,3,1,0,14,124.444444444444,0,300,0,0,"ambient","C",1,"1.C.ambient.AB3","0",NA,NA,NA,NA
"AB","AB3",14,"AB","1.C.fungicide",1,3,0,4,124.444444444444,80,0,320,0,0,"fungicide","C",1,"1.C.fungicide.AB3","0",NA,NA,NA,NA
"AB","AB1",5,"NO SEEDS","5.C.fungicide",0,15,50,7,22.2222222222222,186.666666666667,0,240,0,0,"fungicide","C",5,"5.C.fungicide.AB1","0",NA,NA,NA,NA
"AB","AB3",4,"NO SEEDS","3.A.fungicide",1,8,6,0,4,16,0,300,0,0,"fungicide","A",3,"3.A.fungicide.AB3","0",NA,NA,NA,NA
"AB","AB3",10,"AF","5.C.fungicide",0,15,50,7,22.2222222222222,186.666666666667,0,240,0,0,"fungicide","C",5,"5.C.fungicide.AB3","0",NA,NA,NA,NA
"AB","AB2",5,"NO SEEDS","5.E.inoculation",1,0,1800,100,150,200,3,0,0,0,"inoculation","E",5,"5.E.inoculation.AB2","0",NA,NA,NA,NA
"AB","X505",5,"NO SEEDS","1.E.ambient",1,1,100,0,150,70,66.6666666666667,480,0,0,"ambient","E",1,"1.E.ambient.X505","0",NA,NA,NA,NA
"AB","X507",3,"NO SEEDS","1.E.ambient",1,1,100,0,150,70,66.6666666666667,480,0,0,"ambient","E",1,"1.E.ambient.X507","0",NA,NA,NA,NA
